date,symbol,ib_close,refinitiv_close
2025-06-06,LRGC,68.64,68.64
2025-06-06,LRGE,77.33,77.33
2025-06-06,LRGF,62.32,62.32
2025-06-06,LRND,34.66,34.6666
2025-06-06,LSGR,39.8,39.8025
2025-06-06,LVHD,39.75,39.75
2025-06-06,MBCC,35.72,35.7225
2025-06-06,MDYG,85.91,85.91
2025-06-06,MDYV,77.97,77.97
2025-06-06,MFEM,20.43,20.4311
2025-06-06,MFUS,52.13,52.1263
2025-06-06,MGC,217.52,217.52
2025-06-06,MGK,352.15,352.15
2025-06-06,MGV,128.28,128.28
2025-06-06,MILN,47.75,47.75
2025-06-06,MMLG,32.41,32.4133
2025-06-06,MMTM,258.54,258.5391
2025-06-06,MOO,72.93,72.93
2025-06-06,MOTE,27.41,27.4086
2025-06-06,MRNY,2.49,2.49
2025-06-06,MSMR,30.5,30.5074
2025-06-06,MSTB,36.41,36.4119
2025-06-06,MSTQ,35.14,35.1414
2025-06-06,FNDB,23.42,23.42
2025-06-06,FNDE,32.17,32.17
2025-06-06,FNDX,23.98,23.98
2025-06-06,FNX,112.85,112.85
2025-06-06,FNY,81.14,81.1459
2025-06-06,FOF,12.2,12.2
2025-06-06,FORH,22.73,22.737
2025-06-06,FPX,140.18,140.1806
2025-06-06,FQAL,68.41,68.41
2025-06-06,FSMD,41.01,41.01
2025-06-06,FSST,27.11,27.1153
2025-06-06,FSZ,76.62,76.62
2025-06-06,FTA,76.8,76.8
2025-06-06,FTC,146.41,146.41
2025-06-06,FTCS,91.21,91.21
2025-06-06,FTEC,186.44,186.44
2025-06-06,FUND,7.43,7.43
2025-06-06,FUNL,42.74,42.7465
2025-06-06,FV,58.24,58.24
2025-06-06,FVAL,62.34,62.3413
2025-06-06,FVC,35.31,35.31
2025-06-06,FVD,44.77,44.77
2025-06-06,FXD,62.38,62.38
2025-06-06,FXH,102.9,102.9
2025-06-06,FXL,152.57,152.57
2025-06-06,FXO,54.58,54.58
2025-06-06,FXR,72.83,72.83
2025-06-06,FYC,77.09,77.09
2025-06-06,FYX,95.0,95.0
2025-06-06,GAB,5.79,5.79
2025-06-06,RWL,101.75,101.75
2025-06-06,RXI,187.5,187.5
2025-06-06,RYLD,14.75,14.75
2025-06-06,RZG,49.98,49.9825
2025-06-06,SAMT,32.9,32.9014
2025-06-06,SCHA,24.88,24.88
2025-06-06,SCHB,23.12,23.12
2025-06-06,SCHC,40.94,40.94
2025-06-06,SCHE,29.4,29.4
2025-06-06,SCHF,21.86,21.86
2025-06-06,SCHG,28.09,28.09
2025-06-06,SCHK,28.92,28.92
2025-06-06,SCHM,27.54,27.54
2025-06-06,SCHQ,30.88,30.88
2025-06-06,SCHV,27.11,27.11
2025-06-06,SCHX,23.73,23.73
2025-06-06,SCZ,71.31,71.31
2025-06-06,SDVY,34.91,34.91
2025-06-06,SDY,135.23,135.23
2025-06-06,SECT,55.64,55.64
2025-06-06,SEIM,40.64,40.64
2025-06-06,SEIQ,36.93,36.93
2025-06-06,SEIV,34.53,34.53
2025-06-06,SELV,31.12,31.1213
2025-06-06,SFLO,25.95,25.9431
2025-06-06,SFY,113.62,113.62
2025-06-06,SFYF,44.24,44.2414
2025-06-06,SGLC,33.21,33.2113
2025-06-06,SHE,121.91,121.9087
2025-06-06,SIXA,47.79,47.79
2025-06-06,EQS,1.27,1.27
2025-06-06,EQWL,107.22,107.22
2025-06-06,ESGD,89.54,89.54
2025-06-06,ESGE,37.96,37.96
2025-06-06,ESGU,131.18,131.18
2025-06-06,ESGV,106.1,106.1
2025-06-06,ESML,40.62,40.62
2025-06-06,ESMV,28.84,28.8466
2025-06-06,ETHO,57.89,57.8887
2025-06-06,EUFN,32.27,32.27
2025-06-06,EUSA,97.34,97.34
2025-06-06,EVT,23.49,23.49
2025-06-06,EVUS,29.44,29.4383
2025-06-06,EWX,60.87,60.87
2025-06-06,EXI,162.91,162.91
2025-06-06,EZM,60.89,60.89
2025-06-06,FAD,142.99,142.9923
2025-06-06,FBCG,46.03,46.03
2025-06-06,FBCV,32.37,32.3708
2025-06-06,FCFY,24.14,24.135
2025-06-06,FCPI,45.85,45.8521
2025-06-06,FCTR,33.59,33.5853
2025-06-06,FDCE,12.6,12.595
2025-06-06,FDG,104.23,104.2276
2025-06-06,FDGR,14.19,14.1849
2025-06-06,FDIS,91.79,91.79
2025-06-06,FDLO,61.83,61.83
2025-06-06,FDM,68.76,68.7613
2025-06-06,FDRR,52.36,52.3624
2025-06-06,SIZE,151.71,151.71
2025-06-06,SKYY,119.04,119.04
2025-06-06,SLYG,87.68,87.68
2025-06-06,SLYV,78.43,78.43
2025-06-06,SMDV,64.52,64.52
2025-06-06,SMLF,66.78,66.78
2025-06-06,SMMD,66.63,66.63
2025-06-06,SMMV,42.22,42.2134
2025-06-06,SMOT,33.82,33.82
2025-06-06,SMRI,32.05,32.0453
2025-06-06,SNPD,26.21,26.2079
2025-06-06,SNPE,53.65,53.65
2025-06-06,SNPG,46.44,46.4353
2025-06-06,SNPV,32.06,32.0607
2025-06-06,SOCL,49.32,49.32
